threshold,accuracy,balanced_accuracy,mcc,tn,fp,fn,tp
0.1,0.18939883645765998,0.5,0.0,0,1254,0,293
0.15000000000000002,0.18939883645765998,0.5,0.0,0,1254,0,293
0.20000000000000004,0.31221719457013575,0.5156005900572094,0.031665312768368106,236,1018,46,247
0.25000000000000006,0.7718164188752424,0.5113860901089211,0.03415164832520308,1167,87,266,27
0.30000000000000004,0.8099547511312217,0.4996012759170654,-0.012293634502793716,1253,1,293,0
0.3500000000000001,0.81060116354234,0.5,0.0,1254,0,293,0
0.40000000000000013,0.81060116354234,0.5,0.0,1254,0,293,0
0.45000000000000007,0.81060116354234,0.5,0.0,1254,0,293,0
0.5000000000000001,0.81060116354234,0.5,0.0,1254,0,293,0
0.5500000000000002,0.81060116354234,0.5,0.0,1254,0,293,0
0.6000000000000002,0.81060116354234,0.5,0.0,1254,0,293,0
0.6500000000000001,0.81060116354234,0.5,0.0,1254,0,293,0
0.7000000000000002,0.81060116354234,0.5,0.0,1254,0,293,0
0.7500000000000002,0.81060116354234,0.5,0.0,1254,0,293,0
0.8000000000000002,0.81060116354234,0.5,0.0,1254,0,293,0
0.8500000000000002,0.81060116354234,0.5,0.0,1254,0,293,0
